veincle length,veincle weight,axles number,DrivingStyle,perceding veincle time-gap,Lane of the road,veincle speed,perceding veincle speed,perceding veincle weight,perceding veincle length,road condition,Air temprture,perciption type,perciption intensity,relatve humadity,wind direction,wind speed,Lighting condition
971,4849,4,2,119.0,1,80.08333333333333,81.0,9854.5,989.0,1.0,7.166666666666667,0.0,-1.0,94.0,190.58333333333334,5.083333333333333,0.0
581,2122,2,2,64.38461538461539,1,90.84615384615384,90.23076923076923,6385.076923076923,797.5384615384615,1.0,5.461538461538462,0.0,-1.0,94.0,194.07692307692307,2.5384615384615383,0.0
542,1184,2,2,84.45,1,83.1,82.85,12385.05,1016.45,1.0,4.0,0.0,-1.0,92.0,170.9,0.0,0.0
554,1509,2,3,69.04347826086956,1,88.56521739130434,88.47826086956522,4903.869565217391,760.7826086956521,1.0,3.782608695652174,0.0,-1.0,91.65217391304348,308.4347826086956,0.30434782608695654,1.0
1687,19016,5,3,84.33333333333333,1,86.13333333333334,87.0,12999.133333333333,984.3333333333334,1.0,2.466666666666667,0.0,-1.0,90.53333333333333,311.93333333333334,0.0,1.0
2058,17363,6,1,72.88888888888889,1,84.38888888888889,85.16666666666667,11025.444444444445,1083.1666666666667,1.0,7.0,0.0,-1.0,91.0,208.0,7.0,2.0
560,1743,2,1,88.75,1,84.8125,84.0625,4473.4375,727.625,1.0,5.875,0.0,-1.0,91.5,196.5625,6.625,2.0
938,1752,3,3,57.333333333333336,1,83.11111111111111,83.22222222222223,4069.777777777778,750.8888888888889,1.0,5.0,0.0,-1.0,90.0,118.0,0.0,2.0
586,2612,2,3,63.9,1,90.1,90.6,2389.6,555.2,0.0,2.7,0.0,-1.0,56.3,44.2,4.2,2.0
544,2324,2,2,53.95454545454545,1,86.18181818181819,86.31818181818181,7220.045454545455,720.8181818181819,0.0,4.2727272727272725,0.0,-1.0,58.40909090909091,319.95454545454544,3.0454545454545454,2.0
601,1825,2,3,54.57692307692308,1,88.15384615384616,88.92307692307692,4697.153846153846,650.1923076923077,0.0,11.0,0.0,-1.0,58.0,118.0,7.0,2.0
617,3078,2,2,109.33333333333333,1,89.58333333333333,86.75,7634.916666666667,871.0,0.0,7.0,0.0,-1.0,59.333333333333336,152.0,1.0,2.0
536,2783,2,2,50.28,1,85.76,85.28,9660.44,912.6,0.0,5.92,0.0,-1.0,57.08,30.72,1.12,2.0
632,2632,2,3,47.958333333333336,1,84.625,84.5,5677.625,748.7916666666666,0.0,5.0,0.0,-1.0,57.0,328.9583333333333,2.0416666666666665,2.0
598,3208,2,3,52.07142857142857,1,86.32142857142857,86.82142857142857,8203.464285714286,875.0,0.0,3.642857142857143,0.0,-1.0,57.0,276.85714285714283,4.357142857142857,2.0
521,2167,2,3,41.16129032258065,1,83.6774193548387,85.09677419354838,7399.5161290322585,824.5806451612904,0.0,3.3870967741935485,0.0,-1.0,56.806451612903224,246.09677419354838,4.419354838709677,2.0
550,1327,2,3,64.16666666666667,1,88.05555555555556,90.11111111111111,3790.5555555555557,631.4444444444445,0.0,5.222222222222222,0.0,-1.0,56.0,297.0,3.3333333333333335,2.0
519,2742,2,3,69.28571428571429,1,84.33333333333333,83.9047619047619,8036.190476190476,847.8095238095239,0.0,6.0,0.0,-1.0,56.0,40.0,7.0,2.0
564,2145,2,2,101.53846153846153,1,93.0,92.84615384615384,3776.769230769231,666.8461538461538,0.0,7.384615384615385,0.0,-1.0,60.53846153846154,341.84615384615387,7.461538461538462,2.0
1724,23475,5,2,80.33333333333333,1,86.14285714285714,86.71428571428571,10590.47619047619,1027.5238095238096,0.0,7.0,0.0,-1.0,62.0,317.57142857142856,2.5714285714285716,2.0
559,1724,2,3,77.23529411764706,1,90.52941176470588,88.05882352941177,6556.470588235294,752.4705882352941,0.0,10.0,0.0,-1.0,61.0,298.0,7.0,2.0
1715,20267,6,3,92.36363636363636,1,87.45454545454545,87.72727272727273,10635.181818181818,998.1818181818181,0.0,9.181818181818182,0.0,-1.0,60.54545454545455,95.54545454545455,8.727272727272727,2.0
549,2007,2,2,70.83333333333333,1,89.38888888888889,87.27777777777777,3049.8333333333335,594.0555555555555,0.0,6.777777777777778,0.0,-1.0,62.111111111111114,341.44444444444446,4.111111111111111,2.0
568,3025,2,3,48.77272727272727,1,84.31818181818181,84.27272727272727,13003.272727272728,1111.0454545454545,0.0,5.0,0.0,-1.0,63.18181818181818,316.27272727272725,7.2727272727272725,2.0
466,1621,2,3,63.3,1,84.3,83.65,10265.45,955.0,0.0,3.0,0.0,-1.0,64.0,298.0,6.0,2.0
1720,33554,6,1,136.27272727272728,1,83.9090909090909,84.9090909090909,11810.454545454546,924.5454545454545,0.0,2.727272727272727,0.0,-1.0,65.45454545454545,207.8181818181818,5.0,2.0
963,1990,3,3,177.0,1,84.0,82.85714285714286,4185.428571428572,701.7142857142857,0.0,3.0,0.0,-1.0,69.0,315.0,0.0,2.0
566,2274,2,3,88.47058823529412,1,82.82352941176471,85.23529411764706,12181.588235294117,1027.1176470588234,0.0,4.529411764705882,0.0,-1.0,70.17647058823529,114.94117647058823,0.0,2.0
1689,35184,6,3,118.72727272727273,1,88.81818181818181,95.36363636363636,13524.818181818182,1061.0,0.0,5.363636363636363,0.0,-1.0,72.0,268.1818181818182,0.0,2.0
1694,25556,6,3,146.0,1,89.2,89.8,9152.5,934.9,0.0,2.9,0.0,-1.0,73.0,123.9,0.0,2.0
1977,37472,7,3,229.2,1,89.2,91.4,11245.6,1068.0,0.0,7.0,0.0,-1.0,74.0,186.0,0.0,2.0
571,2881,2,2,243.66666666666666,1,79.66666666666667,82.33333333333333,2334.5,553.3333333333334,0.0,1.0,0.0,-1.0,74.0,186.0,1.0,2.0
1697,13890,6,3,154.8,1,91.0,91.6,9587.3,893.0,0.0,8.5,0.0,-1.0,75.5,213.5,2.5,2.0
1995,24811,5,3,233.0,1,85.0,81.0,14641.5,1685.5,0.0,3.0,0.0,-1.0,78.0,107.0,0.0,2.0
1712,12617,6,1,102.45454545454545,1,90.72727272727273,90.81818181818181,21146.18181818182,1370.7272727272727,0.0,2.3636363636363638,0.0,-1.0,78.63636363636364,154.36363636363637,3.5454545454545454,2.0
2061,26024,6,3,364.0,1,88.6,82.4,10945.8,1374.2,0.0,4.8,0.0,-1.0,78.4,146.6,5.8,2.0
1952,27534,6,3,220.5,1,87.75,93.75,15797.0,1572.0,0.0,7.0,0.0,-1.0,80.5,191.0,4.0,2.0
1658,8291,4,2,323.5,1,86.0,87.0,24858.25,1408.5,0.0,5.5,0.0,-1.0,80.75,174.5,5.75,2.0
1722,20866,6,3,142.8,1,89.2,90.4,18524.8,1613.6,0.0,3.8,0.0,-1.0,82.0,186.8,6.0,2.0
1943,27516,6,2,250.25,1,85.5,86.0,25951.25,1928.25,0.0,3.0,0.0,-1.0,83.0,177.0,6.5,2.0
1718,20367,6,3,479.0,1,84.6,85.6,8397.6,1100.4,0.0,5.0,0.0,-1.0,83.2,180.0,7.4,2.0
486,1210,2,2,275.0,1,80.0,87.5,8939.5,1262.0,0.0,5.0,0.0,-1.0,83.5,171.5,6.0,2.0
654,2380,2,3,1004.5,1,118.5,80.0,8344.0,1207.0,0.0,3.0,0.0,-1.0,84.0,287.0,0.0,2.0
1697,31296,5,3,559.0,1,92.0,84.0,1573.5,512.5,0.0,9.0,0.0,-1.0,86.0,208.0,0.0,2.0
1913,9746,5,2,345.25,1,86.0,88.5,20899.5,1909.75,0.0,8.0,0.0,-1.0,86.0,158.0,7.0,2.0
1689,17698,5,3,413.3333333333333,1,88.33333333333333,80.66666666666667,19633.333333333332,1354.6666666666667,0.0,6.0,0.0,-1.0,87.0,197.0,2.0,2.0
1852,14212,5,1,444.1666666666667,1,93.0,88.83333333333333,7927.0,967.3333333333334,0.0,1.0,0.0,-1.0,89.0,180.83333333333334,0.0,2.0
1071,9663,2,3,314.0,1,89.75,89.75,6276.75,1074.25,0.0,1.0,0.0,-1.0,89.0,146.5,0.0,2.0
1716,26523,6,1,356.6,1,91.6,93.8,10198.4,936.6,0.0,2.0,0.0,-1.0,90.0,96.0,9.0,2.0
1779,21245,6,1,817.0,1,82.0,84.5,10794.5,1235.5,0.0,2.0,0.0,-1.0,91.0,191.0,2.0,2.0
1703,17439,6,1,400.0,1,87.0,88.0,11470.5,1171.5,0.0,3.0,0.0,-1.0,91.0,177.0,1.5,2.0
692,2431,2,2,428.5,1,80.0,81.0,14919.0,1826.5,0.0,9.0,0.0,-1.0,91.0,205.5,1.5,2.0
694,3593,2,3,728.75,1,91.25,91.75,10069.25,1055.5,0.0,7.0,0.0,-1.0,91.0,153.25,4.5,2.0
1654,12298,5,3,396.3333333333333,1,86.33333333333333,79.33333333333333,15770.333333333334,1307.6666666666667,0.0,7.333333333333333,0.0,-1.0,91.0,129.33333333333334,4.0,2.0
1719,16355,5,1,377.2,1,79.0,81.8,14501.6,1451.4,0.0,6.0,0.0,-1.0,92.0,194.4,3.2,2.0
1715,29249,6,1,172.33333333333334,1,87.33333333333333,81.16666666666667,14440.166666666666,1144.1666666666667,0.0,8.0,0.0,-1.0,92.0,146.0,6.0,2.0
723,3125,2,3,294.8333333333333,1,86.33333333333333,93.0,2072.6666666666665,551.8333333333334,0.0,4.0,0.0,-1.0,92.0,163.0,3.0,2.0
663,2590,2,3,199.0,1,92.0,83.33333333333333,9752.333333333334,921.3333333333334,0.0,9.0,0.0,-1.0,92.0,152.0,8.0,2.0
589,2471,2,3,137.66666666666666,1,87.75,86.91666666666667,3802.6666666666665,693.5,0.0,6.0,0.0,-1.0,92.0,185.5,5.5,1.0
626,2007,2,3,140.0,1,84.1,87.4,2227.7,663.4,0.0,1.6,0.0,-1.0,92.0,162.4,8.8,1.0
845,4710,2,2,243.33333333333334,1,85.11111111111111,88.66666666666667,5376.333333333333,771.7777777777778,0.0,4.0,0.0,-1.0,91.0,180.0,1.0,1.0
1709,14253,5,1,89.93333333333334,1,88.86666666666666,87.86666666666666,9521.2,1032.3333333333333,0.0,7.333333333333333,0.0,-1.0,91.0,210.0,6.666666666666667,0.0
670,2984,2,2,123.72727272727273,1,88.63636363636364,89.18181818181819,7770.727272727273,907.7272727272727,0.0,1.0,0.0,-1.0,89.81818181818181,159.0909090909091,0.9090909090909091,0.0
625,2312,2,2,71.71428571428571,1,83.80952380952381,83.80952380952381,5653.0,765.4761904761905,0.0,3.857142857142857,0.0,-1.0,88.04761904761905,196.71428571428572,6.904761904761905,0.0
554,1715,2,2,200.33333333333334,1,91.66666666666667,91.83333333333333,8047.666666666667,932.5,0.0,4.0,0.0,-1.0,88.0,188.5,8.0,0.0
800,3157,2,2,104.89473684210526,1,87.05263157894737,86.73684210526316,4373.8421052631575,725.5263157894736,0.0,6.894736842105263,0.0,-1.0,86.89473684210526,167.21052631578948,8.263157894736842,0.0
1490,14929,3,1,118.23076923076923,1,84.23076923076923,83.92307692307692,7936.076923076923,868.1538461538462,0.0,3.6923076923076925,0.0,-1.0,86.0,205.30769230769232,3.3846153846153846,0.0
555,2692,2,2,60.142857142857146,1,81.71428571428571,82.14285714285714,4332.952380952381,766.952380952381,0.0,5.0,2.0,1.0,58.0,180.0,4.0,0.0
560,1565,2,3,41.76923076923077,1,86.84615384615384,86.65384615384616,5191.423076923077,767.3076923076923,0.0,3.6923076923076925,0.0,-1.0,69.88461538461539,99.15384615384616,0.6923076923076923,1.0
600,4700,2,3,49.55555555555556,1,84.5925925925926,84.07407407407408,4501.37037037037,666.0370370370371,0.0,7.222222222222222,0.0,-1.0,69.77777777777777,77.22222222222223,3.0,2.0
567,1719,2,2,41.333333333333336,1,84.3030303030303,84.21212121212122,4172.969696969697,646.3939393939394,0.0,5.96969696969697,0.0,-1.0,72.12121212121212,36.15151515151515,6.636363636363637,2.0
546,2532,2,3,37.55555555555556,1,82.02777777777777,82.25,2972.4166666666665,613.8055555555555,0.0,4.0,0.0,-1.0,74.61111111111111,75.44444444444444,5.166666666666667,2.0
540,3549,2,3,34.94871794871795,1,83.15384615384616,83.35897435897436,3632.923076923077,629.0512820512821,0.0,2.0,1.0,0.0,76.0,23.0,2.0,2.0
561,1773,2,3,41.628571428571426,1,85.11428571428571,85.11428571428571,4068.4857142857145,651.1142857142858,0.0,5.742857142857143,0.0,-1.0,80.62857142857143,44.114285714285714,3.342857142857143,2.0
537,1218,2,2,39.96969696969697,1,86.33333333333333,86.63636363636364,6467.030303030303,741.4545454545455,1.0,4.121212121212121,0.0,-1.0,81.0,13.181818181818182,4.151515151515151,2.0
606,1822,2,2,42.55172413793103,1,86.51724137931035,85.93103448275862,2663.3793103448274,637.0689655172414,1.0,4.0,0.0,-1.0,80.37931034482759,21.137931034482758,4.241379310344827,2.0
577,1753,2,1,43.6,1,84.13333333333334,84.63333333333334,4259.2,638.9,1.0,4.066666666666666,0.0,-1.0,79.0,196.13333333333333,3.6,2.0
518,1734,2,3,39.16216216216216,1,83.64864864864865,83.0,3338.7297297297296,601.2432432432432,1.0,2.891891891891892,0.0,-1.0,79.10810810810811,280.8918918918919,3.7837837837837838,2.0
569,1410,2,3,41.861111111111114,1,83.63888888888889,83.19444444444444,3821.222222222222,640.8333333333334,1.0,3.5277777777777777,0.0,-1.0,82.08333333333333,226.94444444444446,7.277777777777778,2.0
538,2458,2,2,27.79591836734694,1,83.44897959183673,83.08163265306122,3437.591836734694,609.3061224489796,1.0,8.0,0.0,-1.0,84.0,321.0,1.0,2.0
550,3578,2,3,34.921052631578945,1,84.89473684210526,85.02631578947368,7450.815789473684,768.3684210526316,1.0,8.0,0.0,-1.0,82.0,346.0,6.0,2.0
556,2751,2,3,32.075,1,84.225,83.875,4983.075,724.35,1.0,6.225,0.0,-1.0,83.55,329.825,1.675,2.0
563,1625,2,3,33.8974358974359,1,81.61538461538461,81.76923076923077,4169.871794871795,662.3076923076923,1.0,5.769230769230769,0.0,-1.0,81.64102564102564,256.20512820512823,2.358974358974359,2.0
561,2241,2,2,30.46808510638298,1,77.55319148936171,77.48936170212765,3226.468085106383,601.9148936170212,1.0,5.0,0.0,-1.0,82.0,281.0,2.0,2.0
522,1724,2,1,53.03703703703704,1,83.48148148148148,83.66666666666667,2289.5555555555557,539.925925925926,1.0,1.5185185185185186,0.0,-1.0,85.48148148148148,270.22222222222223,7.555555555555555,2.0
574,2921,2,3,45.12,1,85.08,84.44,3989.12,613.84,1.0,4.6,0.0,-1.0,85.8,281.68,2.8,2.0
501,1269,2,3,79.9090909090909,1,83.04545454545455,84.36363636363636,6709.045454545455,822.2727272727273,1.0,1.0,0.0,-1.0,84.63636363636364,213.0909090909091,5.090909090909091,2.0
553,2341,2,1,87.08333333333333,1,85.08333333333333,85.58333333333333,7338.333333333333,788.5833333333334,1.0,3.1666666666666665,0.0,-1.0,87.0,310.5,0.0,2.0
590,2408,2,3,121.33333333333333,1,81.66666666666667,78.11111111111111,7058.666666666667,838.2222222222222,1.0,2.5555555555555554,0.0,-1.0,88.22222222222223,226.55555555555554,0.0,2.0
574,2501,2,1,101.1,1,76.7,77.3,8658.2,899.2,1.0,8.2,0.0,-1.0,88.4,309.2,3.2,2.0
969,22591,4,2,115.55555555555556,1,80.88888888888889,80.88888888888889,7586.111111111111,741.6666666666666,1.0,7.777777777777778,0.0,-1.0,89.0,81.0,0.8888888888888888,2.0
544,1652,2,2,324.3333333333333,1,80.5,82.5,3428.6666666666665,623.6666666666666,1.0,6.5,0.0,-1.0,89.0,208.0,0.0,2.0
1930,25551,5,1,118.57142857142857,1,88.85714285714286,89.71428571428571,9678.714285714286,892.1428571428571,1.0,4.0,0.0,-1.0,90.0,101.0,0.0,2.0
1227,15958,2,1,135.75,1,84.83333333333333,86.0,8165.833333333333,893.4166666666666,1.0,4.0,0.0,-1.0,90.0,163.0,6.0,2.0
570,1523,2,3,294.0,1,84.25,79.75,1993.75,538.75,1.0,1.0,0.0,-1.0,91.0,191.0,9.0,2.0
1448,16313,6,1,228.6,1,85.6,79.8,7951.6,903.8,1.0,4.6,0.0,-1.0,91.0,216.0,0.0,2.0
1714,20316,5,1,87.7,1,68.3,67.4,7444.0,983.5,1.0,7.3,0.0,-1.0,91.0,225.8,0.0,2.0
2028,17396,5,1,142.42857142857142,1,84.85714285714286,83.42857142857143,14952.57142857143,1481.857142857143,1.0,8.0,0.0,-1.0,91.0,116.57142857142857,0.0,2.0
1708,19815,5,1,129.36363636363637,1,86.63636363636364,86.54545454545455,7447.0,886.9090909090909,1.0,8.0,0.0,-1.0,91.0,97.54545454545455,7.2727272727272725,2.0
732,7050,3,1,316.5,2,83.0,83.5,2096.0,544.0,1.0,8.0,0.0,-1.0,91.0,68.0,0.0,2.0
1741,22342,6,2,406.25,1,80.75,82.5,16403.0,1478.25,1.0,7.5,0.0,-1.0,91.0,135.5,0.5,2.0
1705,26801,6,3,329.0,1,92.14285714285714,92.28571428571429,10803.42857142857,888.8571428571429,1.0,6.0,0.0,-1.0,91.0,163.0,0.0,2.0
1690,32930,6,1,220.5,1,84.25,82.5,9653.0,850.25,1.0,4.0,0.0,-1.0,92.0,191.0,0.0,2.0
776,3512,2,3,529.0,1,86.0,84.5,3598.25,805.75,1.0,2.0,0.0,-1.0,92.0,174.0,4.0,2.0
1945,14455,5,1,219.33333333333334,1,93.33333333333333,86.66666666666667,6508.0,1089.3333333333333,1.0,2.0,0.0,-1.0,92.0,180.0,0.0,2.0
548,2579,2,3,735.5,1,85.0,95.5,2375.0,566.5,1.0,2.5,0.0,-1.0,92.0,199.5,0.0,2.0
1068,2637,3,2,786.5,1,80.5,71.5,2454.5,830.0,1.0,4.0,0.0,-1.0,92.0,180.0,4.0,2.0
1711,32403,6,1,140.75,1,75.0,80.25,5906.75,991.0,1.0,4.0,0.0,-1.0,92.0,248.0,4.0,2.0
455,773,2,1,208.0,1,88.5,83.0,7876.5,907.0,1.0,3.0,0.0,-1.0,92.0,174.0,0.0,2.0
1050,4991,4,1,548.0,1,92.0,87.0,18160.0,1598.5,1.0,2.0,0.0,-1.0,92.0,171.5,2.5,2.0
1715,32852,6,3,273.0,1,83.5,79.0,6172.5,1016.0,1.0,6.0,0.0,-1.0,91.5,146.5,1.0,2.0
1712,16807,6,1,184.0,1,77.33333333333333,82.33333333333333,17746.0,1350.6666666666667,1.0,1.6666666666666667,0.0,-1.0,92.0,187.33333333333334,5.333333333333333,2.0
1248,8691,2,1,631.6666666666666,2,88.0,80.66666666666667,14773.666666666666,1177.3333333333333,1.0,4.0,0.0,-1.0,91.0,197.0,8.0,2.0
979,11874,3,3,354.5,1,85.5,82.625,4496.25,870.875,1.0,5.5,0.0,-1.0,90.0,329.0,4.0,2.0
1728,24175,6,1,239.83333333333334,1,92.16666666666667,92.16666666666667,8805.833333333334,1053.0,1.0,6.0,0.0,-1.0,90.0,158.0,0.0,2.0
807,1313,3,3,261.6,1,92.8,84.0,7591.2,870.0,1.0,9.0,0.0,-1.0,89.0,62.0,0.0,1.0
849,1839,3,2,73.78571428571429,1,91.21428571428571,91.57142857142857,2185.0,643.1428571428571,1.0,3.9285714285714284,0.0,-1.0,88.0,218.21428571428572,0.0,1.0
512,1784,2,1,389.0,1,87.6,84.4,11265.2,1049.8,1.0,3.0,0.0,-1.0,87.8,157.4,1.8,0.0
580,1554,2,2,162.69230769230768,1,88.07692307692308,87.76923076923077,1926.1538461538462,547.0769230769231,1.0,3.923076923076923,0.0,-1.0,87.07692307692308,198.0,1.2307692307692308,0.0
1647,14962,5,2,117.0,1,90.76923076923077,89.0,9703.538461538461,985.0769230769231,1.0,4.230769230769231,0.0,-1.0,87.0,253.6153846153846,0.0,0.0
971,3861,4,2,106.36363636363636,1,88.36363636363636,87.9090909090909,6212.181818181818,755.5454545454545,1.0,4.545454545454546,0.0,-1.0,87.45454545454545,186.0,4.181818181818182,0.0
613,2268,2,2,157.7,1,88.0,89.1,3346.8,713.1,1.0,6.0,0.0,-1.0,88.0,207.2,4.6,0.0
564,1907,2,2,94.42857142857143,2,81.71428571428571,84.57142857142857,1779.7142857142858,540.2857142857143,1.0,8.0,0.0,-1.0,88.0,262.57142857142856,0.0,0.0
565,1799,2,2,148.22222222222223,1,86.22222222222223,85.44444444444444,2697.3333333333335,594.7777777777778,1.0,4.0,0.0,-1.0,84.0,180.0,8.0,0.0
570,1855,2,2,79.53846153846153,1,85.92307692307692,85.38461538461539,2162.5384615384614,567.0769230769231,1.0,7.230769230769231,0.0,-1.0,81.61538461538461,198.3846153846154,3.230769230769231,0.0
587,1548,2,2,80.26666666666667,1,84.13333333333334,85.06666666666666,3556.3333333333335,653.7333333333333,1.0,4.0,0.0,-1.0,82.0,309.0,0.0,0.0
562,2207,2,2,57.21739130434783,1,84.43478260869566,82.8695652173913,2634.478260869565,560.5217391304348,0.17391304347826086,3.739130434782609,0.0,-1.0,76.17391304347827,162.65217391304347,2.652173913043478,0.0
601,2428,2,2,144.4,1,85.9,85.5,2569.6,548.0,0.0,5.0,0.0,-1.0,75.5,166.0,4.0,0.0
573,1852,2,2,128.77777777777777,1,93.44444444444444,92.22222222222223,5946.777777777777,656.1111111111111,0.0,8.0,0.0,-1.0,75.0,129.0,0.0,0.0
602,1780,2,2,64.41176470588235,1,83.23529411764706,84.76470588235294,3748.5882352941176,715.1764705882352,0.0,8.0,0.0,-1.0,73.41176470588235,324.47058823529414,5.176470588235294,0.0
499,2236,2,2,101.64285714285714,1,87.07142857142857,88.85714285714286,2026.0,553.5,0.0,8.0,0.0,-1.0,73.0,332.0,2.0,0.0
553,2166,2,2,77.15,1,83.9,85.0,3742.55,661.25,0.0,6.55,0.0,-1.0,72.35,255.7,0.35,0.0
577,2464,2,2,202.16666666666666,1,85.5,84.83333333333333,4088.1666666666665,710.3333333333334,0.0,3.0,0.0,-1.0,71.5,332.0,3.5,0.0
523,2506,2,2,64.3913043478261,1,84.47826086956522,84.04347826086956,3096.391304347826,725.7391304347826,0.0,5.0,0.0,-1.0,68.8695652173913,302.04347826086956,1.7826086956521738,0.0
588,1543,2,2,92.72727272727273,1,85.45454545454545,86.81818181818181,3306.0,672.0,0.0,8.0,0.0,-1.0,66.0,326.0,6.0,1.0
604,2026,2,2,114.27272727272727,1,86.18181818181819,88.0909090909091,3565.7272727272725,717.5454545454545,0.0,9.0,0.0,-1.0,65.0,99.63636363636364,3.6363636363636362,1.0
575,1631,2,2,98.71428571428571,1,84.71428571428571,86.64285714285714,6009.571428571428,767.7142857142857,0.0,5.0,0.0,-1.0,64.5,177.5,6.5,1.0
1706,21455,5,1,114.57142857142857,1,89.57142857142857,84.14285714285714,7888.0,923.7142857142857,0.0,9.0,0.0,-1.0,66.0,338.0,6.0,2.0
556,3181,2,3,72.84210526315789,1,86.05263157894737,85.6842105263158,2132.8947368421054,596.2105263157895,0.0,9.0,0.0,-1.0,64.10526315789474,337.36842105263156,1.3157894736842106,2.0
1032,6781,2,3,101.16666666666667,1,86.0,83.75,5065.916666666667,765.0,0.0,9.0,0.0,-1.0,64.0,197.0,5.5,2.0
524,1379,2,2,66.35,1,80.4,80.0,2791.75,613.6,0.0,8.0,0.0,-1.0,63.0,360.0,8.4,2.0
559,1509,2,3,90.42857142857143,1,83.28571428571429,85.57142857142857,1695.857142857143,554.4285714285714,0.0,7.142857142857143,0.0,-1.0,63.0,90.0,3.857142857142857,2.0
529,1591,2,3,93.6875,1,84.25,83.8125,7796.125,807.0,0.0,6.0,0.0,-1.0,66.0,326.0,7.0,2.0
540,1311,2,3,100.91666666666667,1,89.33333333333333,89.75,2518.5833333333335,680.4166666666666,0.0,6.5,0.0,-1.0,65.0,6.0,6.5,2.0
551,1230,2,3,315.75,1,83.0,80.5,12514.0,912.0,0.0,6.0,0.0,-1.0,66.0,28.0,4.0,2.0
576,2269,2,3,127.75,1,93.08333333333333,90.16666666666667,4910.25,659.1666666666666,0.0,4.0,0.0,-1.0,68.0,51.0,4.0,2.0
584,1816,2,3,109.61538461538461,1,81.46153846153847,84.0,3021.153846153846,614.3846153846154,0.0,3.4615384615384617,0.0,-1.0,69.53846153846153,47.38461538461539,6.384615384615385,2.0
558,2064,2,3,155.33333333333334,1,83.0,85.66666666666667,6347.333333333333,741.0,0.0,3.0,0.0,-1.0,70.0,41.666666666666664,4.166666666666667,2.0
665,2763,2,3,136.11111111111111,1,85.11111111111111,85.88888888888889,9028.111111111111,855.0,0.0,3.0,0.0,-1.0,70.0,23.0,8.0,2.0
572,1824,2,3,475.0,1,91.33333333333333,83.33333333333333,2564.3333333333335,589.3333333333334,0.0,3.0,0.0,-1.0,70.0,127.33333333333333,5.0,2.0
1294,3395,5,3,185.28571428571428,1,88.28571428571429,89.42857142857143,11216.57142857143,1157.142857142857,0.0,2.0,0.0,-1.0,70.0,17.571428571428573,4.0,2.0
560,1598,2,2,218.375,1,86.125,85.25,1999.5,549.5,0.0,2.0,0.0,-1.0,70.0,17.0,7.0,2.0
1640,15528,3,2,254.16666666666666,1,80.33333333333333,86.83333333333333,8776.5,954.3333333333334,0.0,1.5,0.0,-1.0,70.0,180.0,6.0,2.0
960,3097,4,2,181.14285714285714,1,80.42857142857143,82.85714285714286,1922.857142857143,596.2857142857143,0.0,8.0,0.0,-1.0,70.0,354.0,6.0,2.0
932,15341,3,2,187.0,1,71.16666666666667,76.5,10570.333333333334,874.6666666666666,0.0,8.333333333333334,0.0,-1.0,70.33333333333333,24.333333333333332,5.666666666666667,2.0
576,2157,2,2,306.5,1,81.0,83.5,2061.5,569.5,0.0,9.0,0.0,-1.0,71.0,17.0,3.0,2.0
514,1733,2,3,385.0,1,96.5,88.0,4636.5,673.0,0.0,8.0,0.0,-1.0,72.0,174.5,4.5,2.0
565,2251,2,3,109.16666666666667,1,88.66666666666667,87.33333333333333,2007.6666666666667,568.5,0.0,8.5,0.0,-1.0,71.5,180.0,3.5,2.0
